ID,Pop
AP_G11,Central
AP_G13,Central
AP_G21,Central
AP_G23,Central
AP_G26,Central
AP_G27,Central
AP_G28,Central
AP_G29,Central
AP_G09,Klein
AP_G10,Klein
AP_G17,Klein
AP_G20,Klein
AP_G01,Lac Bay
AP_G02,Lac Bay
AP_G06,North
AP_G07,North
AP_G08,North
AP_G18,North
AP_G19,North
AP_G24,North
AP_G03,South
AP_G04,South
AP_G05,South
AP_G12,South
AP_G14,South
AP_G15,South
AP_G16,South
AP_G22,South
AP_G25,South
AP_G30,Lac Bay
AP_G31,Lac Bay
AP_G32,Lac Bay
AP_G33,Lac Bay
AP_G34,Lac Bay
AP_G35,Lac Bay
AP_G36,Lac Bay
AC_G01,Lac Bay
AC_G02,Lac Bay
AC_G03,South
AC_G04,South
AC_G05,South
AC_G06,Central
AC_G07,North
AC_G08,North
AC_G09,Klein
AC_G10,Klein
AC_G11,Central
AC_G12,North
AC_G13,North
AC_G14,South
AC_G15,South
AC_G16,North
AC_G17,South
AC_G18,South
AC_G19,South
AC_G20,South
AC_G21,Unk
AC_G22,South
AC_G23,North
AC_G24,South
AC_G25,Unk
AC_G26,Klein
AC_G27,North
